REF_AREA;Coğrafi Kapsam (TR);FREQ;Gözlem Sıklığı (A);INDICATOR;İstatistiksel Gösterge (NG_ADNKS);ADNKS_GOSTERGE;ADNKS Gösterge (NUFUS);Zaman (TIME_PERIOD);Gözlem;OBS_STATUS;Gözlem Durumu;TIME_FORMAT;Zaman Formatı;DECIMAL;Ondalık Basamak Sayısı;UNIT_MEASURE;Ölçü Birimi;UNIT_MULT;Birim Çarpanı
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2009;14,49530529;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS_ARTIS_HIZ_YIL;Yıllık nüfus artış hızı(‰);2008;13,10113062;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2025;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2024;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2023;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2022;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2021;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2020;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2019;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2018;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2017;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2016;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2015;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2014;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2013;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2012;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2011;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2010;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2009;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2008;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;IL_SAY;İl Sayısı;2007;81;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2025;922;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2024;922;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2023;922;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2022;922;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2021;922;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2020;922;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2019;922;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2018;922;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2017;921;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2016;919;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2015;919;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2014;919;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2013;919;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2012;892;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2011;892;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2010;892;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2009;892;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2008;892;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;ILCE_SAY;İlçe Sayısı;2007;850;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2025;18249;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2024;18243;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2023;18240;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2022;18293;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2021;18288;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2020;18287;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2019;18280;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2018;18275;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2017;18380;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2016;18373;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2015;18362;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2014;18340;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2013;18214;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2012;34434;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2011;34425;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2010;34402;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2009;34367;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2008;34349;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;KOY_SAY;Köy Sayısı;2007;34438;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2025;404;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2024;398;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2023;390;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2022;388;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2021;387;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2020;386;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2019;386;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2018;386;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2017;396;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2016;397;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2015;397;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2014;396;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2013;394;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2012;1977;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2011;1977;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2010;1977;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2009;1978;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2008;1981;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;BEL_ILK_KADEME_SAY;Belediye/İlk kademe belediye Sayısı;2007;2294;;;;;;;;;;
